"title","author","journal","number","cites","year","cid","pubid","citation"
"Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936","MPC Cherrie, NK Shortt, RJ Mitchell, AM Taylor, P Redmond, ...","Social Science & Medicine","196, 56-65",105,2018,"16794652531611244217",NA,"MPC Cherrie, NK Shortt, RJ Mitchell, AM Taylor, P Redmond, ... (2018) Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936.Social Science & Medicine, 196, 56-65"
"Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study","I Alcock, M White, M Cherrie, B Wheeler, J Taylor, R McInnes, ...","Environment international","109, 29-41",91,2017,"10538603330853358236",NA,"I Alcock, M White, M Cherrie, B Wheeler, J Taylor, R McInnes, ... (2017) Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study.Environment international, 109, 29-41"
"Life course of place: A longitudinal study of mental health and place","J Pearce, M Cherrie, N Shortt, I Deary, C Ward Thompson","Transactions of the Institute of British Geographers","43 (4), 555-572",71,2018,"4852555408792423177",NA,"J Pearce, M Cherrie, N Shortt, I Deary, C Ward Thompson (2018) Life course of place: A longitudinal study of mental health and place.Transactions of the Institute of British Geographers, 43 (4), 555-572"
"Ultraviolet A radiation and COVID-19 deaths in the USA with replication studies in England and Italy","M Cherrie, T Clemens, C Colandrea, Z Feng, DJ Webb, RB Weller, ...","British Journal of Dermatology","185 (2), 363-370",38,2021,"14086051711664162584,9149788818830272518",NA,"M Cherrie, T Clemens, C Colandrea, Z Feng, DJ Webb, RB Weller, ... (2021) Ultraviolet A radiation and COVID19 deaths in the USA with replication studies in England and Italy.British Journal of Dermatology, 185 (2), 363-370"
"Pathogen seasonality and links with weather in England and Wales: a big data time series analysis","MPC Cherrie, G Nichols, GL Iacono, C Sarran, S Hajat, LE Fleming","BMC Public Health","18 (1), 1-13",35,2018,"12724194856594186117",NA,"MPC Cherrie, G Nichols, GL Iacono, C Sarran, S Hajat, LE Fleming (2018) Pathogen seasonality and links with weather in England and Wales: a big data time series analysis.BMC Public Health, 18 (1), 1-13"
"Coastal climate is associated with elevated solar irradiance and higher 25 (OH) D level","MPC Cherrie, BW Wheeler, MP White, CE Sarran, NJ Osborne","Environment International","77, 76-84",21,2015,"10341123965910412343",NA,"MPC Cherrie, BW Wheeler, MP White, CE Sarran, NJ Osborne (2015) Coastal climate is associated with elevated solar irradiance and higher 25 (OH) D level.Environment International, 77, 76-84"
"Life course air pollution exposure and cognitive decline: modelled historical air pollution data and the Lothian Birth Cohort 1936","TC Russ, MPC Cherrie, C Dibben, S Tomlinson, S Reis, U Dragosits, ...","Journal of Alzheimer's Disease","1-12",20,2021,"15137778068329220990,18131252385553010596",NA,"TC Russ, MPC Cherrie, C Dibben, S Tomlinson, S Reis, U Dragosits, ... (2021) Life course air pollution exposure and cognitive decline: modelled historical air pollution data and the Lothian Birth Cohort 1936.Journal of Alzheimer's Disease, 1-12"
"Association between the activity space exposure to parks in childhood and adolescence and cognitive aging in later life","MPC Cherrie, NK Shortt, C Ward Thompson, IJ Deary, JR Pearce","International journal of environmental research and public health","16 (4), 632",18,2019,"4055504183926195428",NA,"MPC Cherrie, NK Shortt, C Ward Thompson, IJ Deary, JR Pearce (2019) Association between the activity space exposure to parks in childhood and adolescence and cognitive aging in later life.International journal of environmental research and public health, 16 (4), 632"
"Contamination of air and surfaces in workplaces with SARS-CoV-2 virus: a systematic review","JW Cherrie, MPC Cherrie, A Smith, D Holmes, S Semple, S Steinle, ...","Annals of work exposures and health","65 (8), 879-892",16,2021,"16748972577252818383",NA,"JW Cherrie, MPC Cherrie, A Smith, D Holmes, S Semple, S Steinle, ... (2021) Contamination of air and surfaces in workplaces with SARS-CoV-2 virus: a systematic review.Annals of work exposures and health, 65 (8), 879-892"
"Changing labour market conditions during the ‘great recession’and mental health in Scotland 2007–2011: an example using the Scottish Longitudinal Study and data for local areas …","S Curtis, J Pearce, M Cherrie, C Dibben, N Cunningham, C Bambra","Social Science & Medicine","227, 1-9",16,2019,"1088518814789439133",NA,"S Curtis, J Pearce, M Cherrie, C Dibben, N Cunningham, C Bambra (2019) Changing labour market conditions during the great recessionand mental health in Scotland 20072011: an example using the Scottish Longitudinal Study and data for local areas .Social Science & Medicine, 227, 1-9"
"UVA and seasonal patterning of 56 370 myocardial infarctions across Scotland, 2000–2011","DF Mackay, TL Clemens, CE Hastie, MPC Cherrie, C Dibben, JP Pell","Journal of the American Heart Association","8 (23), e012551",13,2019,"2409555234086302591",NA,"DF Mackay, TL Clemens, CE Hastie, MPC Cherrie, C Dibben, JP Pell (2019) UVA and seasonal patterning of 56 370 myocardial infarctions across Scotland, 20002011.Journal of the American Heart Association, 8 (23), e012551"
"The impact of the point of sale tobacco display ban on young people in Scotland: before and after study","S Haw, DB Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ...","Public Health Research","",11,2020,"229267316272474835",NA,"S Haw, DB Currie, D Eadie, J Pearce, A MacGregor, M Stead, A Amos, ... (2020) The impact of the point of sale tobacco display ban on young people in Scotland: before and after study.Public Health Research, "
"A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol","A Nioi, C Wendelboe-Nelson, S Cowan, H Cowie, S Rashid, P Ritchie, ...","BMC public health","18 (1), 1-8",11,2018,"10410327446227770263",NA,"A Nioi, C Wendelboe-Nelson, S Cowan, H Cowie, S Rashid, P Ritchie, ... (2018) A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol.BMC public health, 18 (1), 1-8"
"How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study","J Pearce, M Cherrie, C Best, D Eadie, M Stead, A Amos, D Currie, ...","Tobacco Control","29 (2), 168-174",9,2020,"15581106124869290965",NA,"J Pearce, M Cherrie, C Best, D Eadie, M Stead, A Amos, D Currie, ... (2020) How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study.Tobacco Control, 29 (2), 168-174"
"Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 2011–17","S Curtis, N Cunningham, J Pearce, P Congdon, M Cherrie, S Atkinson","Social Science & Medicine","270, 113654",7,2021,"4803877324500121120",NA,"S Curtis, N Cunningham, J Pearce, P Congdon, M Cherrie, S Atkinson (2021) Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 201117.Social Science & Medicine, 270, 113654"
"Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey","S Rhodes, J Wilkinson, N Pearce, W Mueller, M Cherrie, K Stocking, ...","J Epidemiol Community Health","76 (10), 841-846",6,2022,"17138889190303884698,18296023280174167472,13551926155101113715",NA,"S Rhodes, J Wilkinson, N Pearce, W Mueller, M Cherrie, K Stocking, ... (2022) Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey.J Epidemiol Community Health, 76 (10), 841-846"
"Exposure to solar UV during outdoor construction work in Britain","JW Cherrie, A Nioi, C Wendelboe-Nelson, S Cowan, M Cherrie, S Rashid, ...","Annals of Work Exposures and Health","65 (2), 176-182",6,2021,"13144092145059493408",NA,"JW Cherrie, A Nioi, C Wendelboe-Nelson, S Cowan, M Cherrie, S Rashid, ... (2021) Exposure to solar UV during outdoor construction work in Britain.Annals of Work Exposures and Health, 65 (2), 176-182"
"Neighborhood crime and psychotropic medications: a longitudinal data linkage study of 130,000 Scottish adults","G Baranyi, M Cherrie, S Curtis, C Dibben, JR Pearce","American Journal of Preventive Medicine","58 (5), 638-647",6,2020,"10697637916363320767",NA,"G Baranyi, M Cherrie, S Curtis, C Dibben, JR Pearce (2020) Neighborhood crime and psychotropic medications: a longitudinal data linkage study of 130,000 Scottish adults.American Journal of Preventive Medicine, 58 (5), 638-647"
