"titles","abstracts"
"Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey.","Concern remains about how occupational SARS-CoV-2 risk has evolved during the COVID-19 pandemic. We aimed to ascertain occupations with the greatest risk of SARS-CoV-2 infection and explore how relative differences varied over the pandemic."
"Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales.","Analysis of cohort data from the UK Office of National Statistics COVID-19 Infection Survey from April 2020 to November 2021. This survey is designed to be representative of the UK population and uses regular PCR testing. Cox and multilevel logistic regression were used to compare SARS-CoV-2 infection between occupational/sector groups, overall and by four time periods with interactions, adjusted for age, sex, ethnicity, deprivation, region, household size, urban/rural neighbourhood and current health conditions."
"The relationship between greenspace and personal exposure to PM<sub>2.5</sub> during walking trips in Delhi, India.","Based on 3 910 311 observations (visits) from 312 304 working age adults, elevated risks of infection can be seen overall for social care (HR 1.14; 95% CI 1.04 to 1.24), education (HR 1.31; 95% CI 1.23 to 1.39), bus and coach drivers (1.43; 95% CI 1.03 to 1.97) and police and protective services (HR 1.45; 95% CI 1.29 to 1.62) when compared with non-essential workers. By time period, relative differences were more pronounced early in the pandemic. For healthcare elevated odds in the early waves switched to a reduction in the later stages. Education saw raises after the initial lockdown and this has persisted. Adjustment for covariates made very little difference to effect estimates."
"Contamination of Air and Surfaces in Workplaces with SARS-CoV-2 Virus: A Systematic Review.","Elevated risks among healthcare workers have diminished over time but education workers have had persistently higher risks. Long-term mitigation measures in certain workplaces may be warranted."
"Antenatal Exposure to UV-B Radiation and Preeclampsia: A Retrospective Cohort Study.","This study aimed to understand whether the proportionate mortality of COVID-19 for various occupational groups has varied over the pandemic."
"Climatic factors are associated with asthma prevalence: An ecological study using English quality outcomes framework general practitioner practice data.","We used the Office for National Statistics (ONS) mortality data for England and Wales. The deaths (20-64 years) were classified as either COVID-19-related using ICD-10 codes (U07.1, U07.2), or from other causes. Occupational data recorded at the time of death was coded using the SOC10 coding system into 13 groups. Three time periods (TP) were used: (i) January 2020 to September 2020; (ii) October 2020-May 2021; and (iii) June 2021-October 2021. We analyzed the data with logistic regression and compared odds of death by COVID-19 to other causes, adjusting for age, sex, deprivation, region, urban/rural and population density."
"A data linkage study of the effects of the Great Recession and austerity on antidepressant prescription usage.","Healthcare professionals and associates had a higher proportionate odds of COVID-19 death in TP1 compared to non-essential workers but were not observed to have increased odds thereafter. Medical support staff had increased odds of death from COVID-19 during both TP1 and TP2, but this had reduced by TP3. This latter pattern was also seen for social care, food retail and distribution, and bus and coach drivers. Taxi and cab drivers were the only group that had higher odds of death from COVID-19 compared to other causes throughout the whole period under study [TP1: odds ratio (OR) 2.42, 95% confidence interval (CI) 1.99-2.93; TP2: OR 3.15, 95% CI 2.63-3.78; TP3: OR 1.7, 95% CI 1.26-2.29]."
"Trajectories in mental health and socio-spatial conditions in a time of economic recovery and austerity: A longitudinal study in England 2011-17.","Differences in the odds of death from COVID-19 between occupational groups has declined over the course of the pandemic, although some occupations have remained relatively high throughout."
"Life Course Air Pollution Exposure and Cognitive Decline: Modelled Historical Air Pollution Data and the Lothian Birth Cohort 1936.","The presence of urban greenspace may lead to reduced personal exposure to air pollution via several mechanisms, for example, increased dispersion of airborne particulates; however, there is a lack of real-time evidence across different urban contexts. Study participants were 79 adolescents with asthma who lived in Delhi, India and were recruited to the Delhi Air Pollution and Health Effects (DAPHNE) study. Participants were monitored continuously for exposure to PM<sub>2.5</sub> (particulate matter with an aerodynamic diameter of less than 2.5 μm) for 48 h. We isolated normal day-to-day walking journeys (n = 199) from the personal monitoring dataset and assessed the relationship between greenspace and personal PM<sub>2.5</sub> using different spatial scales of the mean Normalised Difference Vegetation Index (NDVI), mean tree cover (TC), and proportion of surrounding green land use (GLU) and parks or forests (PF). The journeys had a mean duration of 12.7 (range 5, 53) min and mean PM<sub>2.5</sub> personal exposure of 133.9 (standard deviation = 114.8) μg/m<sup>3</sup>. The within-trip analysis showed weak inverse associations between greenspace markers and PM<sub>2.5</sub> concentrations only in the spring/summer/monsoon season, with statistically significant associations for TC at the 25 and 50 m buffers in adjusted models. Between-trip analysis also indicated inverse associations for NDVI and TC, but suggested positive associations for GLU and PF in the spring/summer/monsoon season; no overall patterns of association were evident in the autumn/winter season. Associations between greenspace and personal PM<sub>2.5</sub> during walking trips in Delhi varied across metrics, spatial scales, and season, but were most consistent for TC. These mixed findings may partly relate to journeys being dominated by walking along roads and small effects on PM<sub>2.5</sub> of small pockets of greenspace. Larger areas of greenspace may, however, give rise to observable spatial effects on PM<sub>2.5</sub>, which vary by season."
"Use of sequence analysis for classifying individual antidepressant trajectories to monitor population mental health.","This systematic review aimed to evaluate the evidence for air and surface contamination of workplace environments with SARS-CoV-2 RNA and the quality of the methods used to identify actions necessary to improve the quality of the data."
"Changing levels of local crime and mental health: a natural experiment using self-reported and service use data in Scotland.","We searched Web of Science and Google Scholar until 24 December 2020 for relevant articles and extracted data on methodology and results."
"Neighborhood Crime and Psychotropic Medications: A Longitudinal Data Linkage Study of 130,000 Scottish Adults.","The vast majority of data come from healthcare settings, with typically around 6% of samples having detectable concentrations of SARS-CoV-2 RNA and almost none of the samples collected had viable virus. There were a wide variety of methods used to measure airborne virus, although surface sampling was generally undertaken using nylon flocked swabs. Overall, the quality of the measurements was poor. Only a small number of studies reported the airborne concentration of SARS-CoV-2 virus RNA, mostly just reporting the detectable concentration values without reference to the detection limit. Imputing the geometric mean air concentration assuming the limit of detection was the lowest reported value, suggests typical concentrations in healthcare settings may be around 0.01 SARS-CoV-2 virus RNA copies m-3. Data on surface virus loading per unit area were mostly unavailable."
"Exposure to Solar UV During Outdoor Construction Work in Britain.","The reliability of the reported data is uncertain. The methods used for measuring SARS-CoV-2 and other respiratory viruses in work environments should be standardized to facilitate more consistent interpretation of contamination and to help reliably estimate worker exposure."
"UVA and Seasonal Patterning of 56 370 Myocardial Infarctions Across Scotland, 2000-2011.","Background Risk of preeclampsia varies by month of delivery. We tested whether this seasonal patterning may be mediated through maternal vitamin D concentration using antenatal exposure to UV-B radiation as an instrumental variable. Methods and Results Scottish maternity records were linked to antenatal UV-B exposure derived from satellites between 2000 and 2010. Logistic regression analyses were used to explore the association between UV-B and preeclampsia, adjusting for the potential confounding effects of month of conception, child's sex, gestation, parity, and mean monthly temperature. Of the 522 896 eligible singleton deliveries, 8689 (1.66%) mothers developed preeclampsia. Total antenatal UV-B exposure ranged from 43.18 to 101.11 kJ/m<sup>2</sup> and was associated with reduced risk of preeclampsia with evidence of a dose-response relationship (highest quintile of exposure: adjusted odds ratio, 0.57; 95% CI, 0.44-0.72; <i>P</i>&lt;0.001). Associations were demonstrated for UV-B exposure in all 3 trimesters. Conclusions The seasonal patterning of preeclampsia may be mediated through low maternal vitamin D concentration in winter resulting from low UV-B radiation. Interventional studies are required to determine whether vitamin D supplements or UV-B-emitting light boxes can reduce the seasonal patterning of preeclampsia."
"Recession, local employment trends and change in self-reported health of individuals: A longitudinal study in England and Wales during the 'great recession'.","Asthma is a complex disease with multiple environmental factors proposed to contribute to aetiology. Geographical analyses can shed light on the determinants of asthma. Ultraviolet radiation has been associated with asthma prevalence in past ecological studies. We have increased the detail of examining the association between asthma and ultraviolet radiation with addition of the variables of temperature, relative humidity and precipitation. An ecological study was designed to investigate meteorological factors associated with asthma prevalence in England. Data from the 2005 quality outcomes framework were used to determine the prevalence of asthma in primary care in England. This information was supplemented with indicators of obesity and smoking of the General Practitioner practice and population (by age and sex), deprivation and ethnicity at lower super output level from the 2001 and 2011 census. Annual mean meteorological data was attained from the Met Office and Joint Research Centre. We used a multiple linear regression to examine individual and multiple climatic factors through a principal components analysis. We tested for an association with asthma prevalence, after taking into account the spatial autocorrelation of the data. Asthma prevalence from general practice surgeries in England was 5.88% (95% CI 5.83 to 5.92). In the highest ultraviolet radiation weighted by the pre-vitamin D action spectrum (UV<sub>vitd</sub>) quartile (2.12 to 2.50 kJ/m<sup>2</sup>/day), asthma had a 5% reduction in prevalence; compared to the lowest quartile here (0.95 (95% CI 0.92 to 0.98)). Similar reductions were found in the higher temperature 0.93 (95% CI 0.90 to 96). The opposite was found with relative humidity 1.09 (95% CI 1.05 to 1.12). A combination of high temperature and UVvitd highlighted postcode districts in the South East of England with a climate beneficial to low asthma prevalence. The South West of England represented a climate which had both beneficial and detrimental associations with asthma development. Climate is associated with asthma prevalence in England. Understanding the contribution of multiple climatic factors and the relationship with the indoor environment could help to explain the population distribution of asthma."
"Antenatal exposure to solar radiation and learning disabilities: Population cohort study of 422,512 children.","International literature shows unemployment and income loss during the Great Recession worsened population mental health. This individual-level longitudinal study examines how regional economic trends and austerity related to depression using administrative prescription data for a large and representative population sample."
"Association Between the Activity Space Exposure to Parks in Childhood and Adolescence and Cognitive Aging in Later Life.","Records from a sample of the Scottish Longitudinal Study (N=86 500) were linked to monthly primary care antidepressant prescriptions (2009-15). Regional economic trends were characterized by annual full-time employment data (2004-14). Economic impact of austerity was measured via annual income lost per working age adult due to welfare reforms (2010-15). Sequence analysis identified new cases of antidepressant use, and group-based trajectory modelling classified regions into similar economic trajectories. Multi-level logistic regression examined relationships between regional economic trends and new antidepressant prescriptions. Structural equation mediation analysis assessed the contributory role of welfare reforms."
"How has the introduction of point-of-sale legislation affected the presence and visibility of tobacco retailing in Scotland? A longitudinal study.","Employed individuals living in regions not recovering post-recession had the highest risk of beginning a new course of antidepressants (AOR 1.23; 95% CI 1.08-1.38). Individuals living in areas with better recovery trajectories had the lowest risk. Mediation analyses showed that 50% (95% CI 7-61%) of this association was explained by the impact of welfare benefit reforms on average incomes."
"Changing labour market conditions during the 'great recession' and mental health in Scotland 2007-2011: an example using the Scottish Longitudinal Study and data for local areas in Scotland.","Following the Great Recession, local labour market decline and austerity measures were associated with growing antidepressant usage, increasing regional inequalities in mental health. The study evidences the impact of austerity on health inequalities and suggests that economic conditions and welfare policies impact on population health. Reducing the burden of mental ill-health primarily requires action on the social determinants."
"Pathogen seasonality and links with weather in England and Wales: a big data time series analysis.","This paper examines trends in mental health among adults in England during the period of economic recovery and austerity following the 2008 'great recession'. We report analysis of data on 17,212 individuals living in England, from the longitudinal Understanding Society Survey (USS). We examined how individual's self-reported mental health over time (2011-2017), related to their changing socio-geographical status. Self-reported mental health is reported in the USS using version 2 of the SF12 Mental Component Summary. Trends in this score (across 5 observations per subject) were categorised into Mental Health Trajectory Groups (MHTGs) using Group Based Trajectory Modelling. We used maximum-likelihood multinomial logit models to estimate for individuals the relative likelihood of belonging to different Mental Health Trajectory categories as compared with a 'base' category, for whom mental health was good and stable throughout the period. We focus on likelihood of belonging to a group showing 'declining' mental health. Predictor variables included individuals' attributes and area conditions in their places of residence (including Office of National Statistics indicators of local employment deprivation and data on average income loss within districts due to welfare benefit reforms, published by the Centre of Regional Economic and Social Research at Sheffield Hallam University, UK). Our results emphasise the multiple socio-geographical 'determinants' likely to be operating on individual mental health. Declining mental health was associated both with conditions at the start of the study period and with social and socio-geographical mobility by the end of the study period. Risks of declining mental health were significantly greater for more deprived individuals and also (controlling for individual attributes) among those living in English neighbourhoods that were already economically disadvantaged at the beginning of the 'great recession' and located in districts where average incomes were most severely impacted by the effects of governmental austerity programmes on welfare benefits."
"Association between Serum 25-Hydroxy Vitamin D Levels and the Prevalence of Adult-Onset Asthma.","Air pollution has been consistently linked with dementia and cognitive decline. However, it is unclear whether risk is accumulated through long-term exposure or whether there are sensitive/critical periods. A key barrier to clarifying this relationship is the dearth of historical air pollution data."
"A randomised control crossover trial of a theory based intervention to improve sun-safe and healthy behaviours in construction workers: study protocol.","To demonstrate the feasibility of modelling historical air pollution data and using them in epidemiologicalmodels."
"Green space and cognitive ageing: A retrospective life course analysis in the Lothian Birth Cohort 1936.","Using the EMEP4UK atmospheric chemistry transport model, we modelled historical fine particulate matter (PM2.5) concentrations for the years 1935, 1950, 1970, 1980, and 1990 and combined these with contemporary modelled data from 2001 to estimate life course exposure in 572 participants in the Lothian Birth Cohort 1936 with lifetime residential history recorded. Linear regression and latent growth models were constructed using cognitive ability (IQ) measured by the Moray House Test at the ages of 11, 70, 76, and 79 years to explore the effects of historical air pollution exposure. Covariates included sex, IQ at age 11 years, social class, and smoking."
"Land cover and air pollution are associated with asthma hospitalisations: A cross-sectional study.","Higher air pollution modelled for 1935 (when participants would have been in utero) was associated with worse change in IQ from age 11-70 years (β = -0.006, SE = 0.002, p = 0.03) but not cognitive trajectories from age 70-79 years (p &gt; 0.05). There was no support for other critical/sensitive periods of exposure or an accumulation of risk (all p &gt; 0.05)."
"Occupational differences in SARS-CoV-2 infection: analysis of the UK ONS COVID-19 infection survey.","The life course paradigm is essential in understanding cognitive decline and this is the first study to examine life course air pollution exposure in relation to cognitive health."
"Longitudinal changes in proportionate mortality due to COVID-19 by occupation in England and Wales.","Over the past decade, antidepressant prescriptions have increased in European countries and the United States, partly due to an increase in the number of new cases of mental illness. This paper demonstrates an innovative approach to the classification of population level change in mental health status, using administrative data for a large sample of the Scottish population. We aimed to identify groups of individuals with similar patterns of change in pattern of prescribing, validate these groups by comparison with other indicators of mental illness, and characterise the population most at risk of increasing mental ill health."
"The relationship between greenspace and personal exposure to PM<sub>2.5</sub> during walking trips in Delhi, India.","National Health Service (NHS) prescription data were linked to the Scottish Longitudinal Study (SLS), a 5.3% sample of the Scottish population (N = 151,418). Antidepressant prescription status over the previous 6 months was recorded for every month for which data were available (January 2009-December 2014), and sequence dissimilarity was computed by optimal matching. Hierarchical clustering was used to create groups of participants who had similar patterns of change, with multi-level logistic regression used to understand group membership."
"Contamination of Air and Surfaces in Workplaces with SARS-CoV-2 Virus: A Systematic Review.","Five distinct prescription pattern groups were observed, indicating: no prescriptions (76%), occasional prescriptions (10%), continuation of prior use of prescriptions (8%), a new course of prescriptions started (4%) or ceased taking prescriptions (3%). Young, white, female participants, of low social grade, residing in socially deprived neighbourhoods, living alone, being separated/divorced or out of the labour force, were more likely to be in the group that started a new course of antidepressant prescriptions."
"Antenatal Exposure to UV-B Radiation and Preeclampsia: A Retrospective Cohort Study.","The use of sequence analysis for classifying individual antidepressant trajectories offers a novel approach for capturing population-level changes in mental health risk. By classifying individuals into groups based on their anti-depressant medication use we can better identify how over time, mental health is associated with individual risk factors and contextual factors at the local level and the macro political and economic scale."
"Climatic factors are associated with asthma prevalence: An ecological study using English quality outcomes framework general practitioner practice data.","This study contributes robust evidence on the association between mental health and local crime rates by showing how changing exposure to small area-level crime relates to self-reported and administrative data on mental health."
